transformation_Yeo_Johnson    , RandomForestRegressor, 92.30000000000001, 1.0
transformation_Yeo_Johnson    , ExtraTreesRegressor, 84.0, 1.0
transformation_Yeo_Johnson    , Lasso          , 92.5, 0.0
transformation_Yeo_Johnson    , ElasticNet     , 92.2, 0.0
transformation_Yeo_Johnson    , LassoLars      , 91.8, 0.0
transformation_Yeo_Johnson    , OrthogonalMatchingPursuit, 90.8, 0.0
transformation_Yeo_Johnson    , BayesianRidge  , 92.5, 0.0
transformation_Yeo_Johnson    , Ridge          , 92.30000000000001, 0.0
transformation_Yeo_Johnson    , SGDRegressor   , -3.984570763004989e+31, 0.0
transformation_Yeo_Johnson    , PassiveAggressiveRegressor, 20.9, 0.0
transformation_Yeo_Johnson    , TheilSenRegressor, 92.0, 0.0
transformation_Yeo_Johnson    , LinearRegression, 92.30000000000001, 0.0
transformation_Yeo_Johnson    , ARDRegression  , 91.8, 0.0
transformation_Yeo_Johnson    , svm            , 89.5, 12.0
transformation_Yeo_Johnson    , KNeighborsRegressor, 88.1, 0.0
minmax_scaling                , RandomForestRegressor, 92.4, 1.0
minmax_scaling                , ExtraTreesRegressor, 85.39999999999999, 1.0
minmax_scaling                , Lasso          , 90.60000000000001, 0.0
minmax_scaling                , ElasticNet     , 90.9, 0.0
minmax_scaling                , LassoLars      , 91.0, 0.0
minmax_scaling                , OrthogonalMatchingPursuit, 90.4, 0.0
minmax_scaling                , BayesianRidge  , 90.7, 0.0
minmax_scaling                , Ridge          , 90.7, 0.0
minmax_scaling                , SGDRegressor   , -2.2782668450975837e+32, 0.0
minmax_scaling                , PassiveAggressiveRegressor, 8.200000000000001, 0.0
minmax_scaling                , TheilSenRegressor, 75.9, 0.0
minmax_scaling                , LinearRegression, 90.9, 0.0
minmax_scaling                , ARDRegression  , 90.7, 0.0
minmax_scaling                , svm            , 6.5, 18.0
minmax_scaling                , KNeighborsRegressor, 86.2, 0.0
samplewise_L2_normalizing     , RandomForestRegressor, 89.5, 1.0
samplewise_L2_normalizing     , ExtraTreesRegressor, 81.5, 1.0
samplewise_L2_normalizing     , Lasso          , 92.10000000000001, 0.0
samplewise_L2_normalizing     , ElasticNet     , 92.0, 0.0
samplewise_L2_normalizing     , LassoLars      , 91.3, 0.0
samplewise_L2_normalizing     , OrthogonalMatchingPursuit, 91.4, 0.0
samplewise_L2_normalizing     , BayesianRidge  , 92.60000000000001, 0.0
samplewise_L2_normalizing     , Ridge          , 90.0, 0.0
